MGYP003675878704.domain0.pdb	MGYP003675878704.domain0.pdb
MGYP003675994635.domain0.pdb	MGYP003675994635.domain0.pdb
MGYP003676061441.domain0.pdb	MGYP003676061441.domain0.pdb
MGYP003676161652.domain0.pdb	MGYP003676161652.domain0.pdb
MGYP003676161652.domain0.pdb	MGYP003648571399.domain0.pdb
MGYP003676184811.domain0.pdb	MGYP003676184811.domain0.pdb
MGYP003676322122.domain1.pdb	MGYP003676322122.domain1.pdb
MGYP003676509595.domain3.pdb	MGYP003676509595.domain3.pdb
MGYP003676509595.domain3.pdb	MGYP003666461678.domain4.pdb
MGYP003676509595.domain3.pdb	MGYP003120970962.domain4.pdb
MGYP003676509595.domain3.pdb	MGYP003676880412.domain2.pdb
MGYP003676509595.domain3.pdb	MGYP003665643053.domain4.pdb
MGYP003676748175.domain0.pdb	MGYP003676748175.domain0.pdb
MGYP003676801727.domain0.pdb	MGYP003676801727.domain0.pdb
MGYP003676888262.domain0.pdb	MGYP003676888262.domain0.pdb
MGYP003676888262.domain0.pdb	AF-A0A2W1AJU8-F1-model_v4.domain0.pdb
MGYP003677105130.domain0.pdb	MGYP003677105130.domain0.pdb
MGYP003677215794.domain0.pdb	MGYP003677215794.domain0.pdb
MGYP003677667244.domain0.pdb	MGYP003677667244.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP003678363476.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP000258716555.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP000424534165.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP000697541864.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP000961809835.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP003397533351.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP000096119819.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP003522751200.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP003612858132.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP003535770770.domain0.pdb
MGYP003678363476.domain0.pdb	AF-A0A371JNT6-F1-model_v4.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP001225195271.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP003540673961.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP000559073018.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP003568819749.domain0.pdb
MGYP003678363476.domain0.pdb	MGYP003637999755.domain0.pdb
MGYP003678507180.domain0.pdb	MGYP003678507180.domain0.pdb
MGYP003678894644.domain0.pdb	MGYP003678894644.domain0.pdb
MGYP003679900178.domain0.pdb	MGYP003679900178.domain0.pdb
MGYP003680095337.domain0.pdb	MGYP003680095337.domain0.pdb
MGYP003680807797.domain0.pdb	MGYP003680807797.domain0.pdb
MGYP003680821956.domain0.pdb	MGYP003680821956.domain0.pdb
MGYP003680836892.domain0.pdb	MGYP003680836892.domain0.pdb
MGYP003680836892.domain0.pdb	MGYP001418739700.domain0.pdb
MGYP003680836892.domain0.pdb	MGYP002632756011.domain0.pdb
MGYP003681183043.domain0.pdb	MGYP003681183043.domain0.pdb
MGYP003681332583.domain0.pdb	MGYP003681332583.domain0.pdb
MGYP003681383422.domain0.pdb	MGYP003681383422.domain0.pdb
MGYP003681383422.domain0.pdb	MGYP003673576268.domain0.pdb
MGYP003681383422.domain0.pdb	MGYP001236857542.domain0.pdb
MGYP003681546805.domain0.pdb	MGYP003681546805.domain0.pdb
MGYP003683401485.domain0.pdb	MGYP003683401485.domain0.pdb
MGYP003684485729.domain0.pdb	MGYP003684485729.domain0.pdb
MGYP003684743045.domain0.pdb	MGYP003684743045.domain0.pdb
MGYP003684743045.domain0.pdb	MGYP003649707526.domain0.pdb
MGYP003685153983.domain0.pdb	MGYP003685153983.domain0.pdb
MGYP003689986233.domain0.pdb	MGYP003689986233.domain0.pdb
MGYP003689986233.domain1.pdb	MGYP003689986233.domain1.pdb
MGYP003692929459.domain0.pdb	MGYP003692929459.domain0.pdb
MGYP003693603893.domain0.pdb	MGYP003693603893.domain0.pdb
MGYP003693774477.domain0.pdb	MGYP003693774477.domain0.pdb
MGYP003694694005.domain0.pdb	MGYP003694694005.domain0.pdb
MGYP003699978369.domain2.pdb	MGYP003699978369.domain2.pdb
